rank,player_name,age,points,n_tournaments,diff_rank_three
632,Shintaro Imai,32,57,14,5103
633,Lorenzo Sciahbasi,20,57,20,5103
634,Yuta Kawahashi,27,57,20,5103
635,S D Prajwal Dev,29,57,24,5103
636,Kenta Miyoshi,21,56,10,5104
637,Alec Deckers,25,56,12,5104
638,Gerard Campana Lee,21,56,26,5104
639,Johan Alexander Rodriguez,22,55,11,5105
640,Daniel Siniakov,22,55,12,5105
641,Facundo Juarez,28,55,20,5105
642,Ye Cong Mo,25,55,21,5105
643,Kuan-Yi Lee,29,55,23,5105
644,Massimo Giunta,21,55,27,5105
645,Andrew Paulson,24,54,8,5106
646,Mate Valkusz,27,54,8,5106
647,Yusuke Kusuhara,28,54,16,5106
648,Rigele Te,28,54,18,5106
649,Santiago De La Fuente,23,54,18,5106
650,Igor Kudriashov,22,54,19,5106
651,Denis Klok,27,54,25,5106
652,Aziz Ouakaa,26,54,37,5106
653,Peter Bertran,29,53,16,5107
654,Karol Filar,27,53,18,5107
655,Juan Cruz Martin Manzano,20,53,18,5107
656,Chase Ferguson,26,53,23,5107
657,Axel Garcian,23,53,23,5107
658,Kyle Kang,20,52,9,5108
659,Aidan Kim,21,52,11,5108
660,Reda Bennani,18,52,12,5108
